Apartment Name,Short Description,Rooms and Bathrooms,Price per Night,Host Name,Account Active Since,Guest favourite stars,Guest favourite reviews
Single room with private bathroom/kitchen&access,"Room in Greater London, United Kingdom",1 single bed ·  · Private attached bathroom,€ 47 ,Hosted by Parvaneh, · 1 year hosting,5.0,14
Luxury Private Bedroom and Bathroom in Shoreditch.,Room in United Kingdom,1 queen bed ·  · Dedicated bathroom,€ 111 ,Stay with Caroline,4 years hosting,5.0,10
London Canary Wharf Spectacular One Bed Apartment,"Entire rental unit in Greater London, United Kingdom",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 126 ,Hosted by Angie,7 years hosting,Not guest favourite,Not guest favourite
Double room in A Victorian House,"Room in Greater London, United Kingdom",1 bedroom ·  · Shared bathroom,€ 48 ,Hosted by Janaka,6 years hosting,Not guest favourite,Not guest favourite
Modern room with private bathroom and parking.,"Room in Greater London, United Kingdom",1 bed ·  · Private attached bathroom,€ 48 ,Hosted by Bharati, · 5 years hosting,4.88,69
Cozy and modern 1BR flat in Enfield,"Entire rental unit in Greater London, United Kingdom",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 2 baths,€ 104 ,Hosted by Rich,1 year hosting,Not guest favourite,Not guest favourite
"Bright & Airy, London Zone 2","Room in Greater London, United Kingdom",1 double bed ·  · Shared bathroom,€ 61 ,Stay with Nky,8 years hosting,Not guest favourite,Not guest favourite
Budget friendly- Cozy Private Room for One,"Room in Greater London, United Kingdom",1 bedroom ·  · Shared bathroom,€ 55 ,Stay with Elaine, · 2 years hosting,4.96,24
Lovely loft in the heart of Kensington,"Entire rental unit in Greater London, United Kingdom",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,€ 218 ,Hosted by The Host Club,2 years hosting,Not guest favourite,Not guest favourite
Spacious & stylish double room,"Room in Greater London, United Kingdom",1 double bed ·  · Shared bathroom,€ 50 ,Hosted by Jagmohan, · 3 months hosting,5.0,5
Room G White Castle,"Room in Greater London, United Kingdom",1 bed ·  · Shared bathroom,€ 51 ,Hosted by Sohrab(Simon),7 years hosting,Not guest favourite,Not guest favourite
The Paddington Studio,"Room in Greater London, United Kingdom",1 double bed ·  · Shared bathroom,€ 108 ,Hosted by Michael,5 years hosting,Not guest favourite,Not guest favourite
"Private room, spacious flat, 4 mins to train","Room in Greater London, United Kingdom",1 double bed ·  · Shared bathroom,€ 49 ,Stay with Lucy, · 10 years hosting,5.0,8
Cosy and traditional single bedroom in Fulham,"Room in Greater London, United Kingdom",1 bedroom ·  · Shared bathroom,€ 52 ,Stay with Pamela,8 years hosting,Not guest favourite,Not guest favourite
Pretty Cosy Room Central London Zone 1 Fast Wi-Fi.,"Room in Central London, United Kingdom",1 double bed ·  · Shared bathroom,€ 132 ,Stay with Simone, · 12 years hosting,4.89,19
"150+ Reviews Luxe Penthouse, 2 King Beds, Central","Entire rental unit in London, United Kingdom",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 148 ,Hosted by Tobias & Annette, · 13 years hosting,Not guest favourite,Not guest favourite
Double-room next to Tower Bridge,"Room in Greater London, United Kingdom",1 bedroom ·  · Shared bathroom,€ 58 ,Stay with Oliver, · 13 years hosting,Not guest favourite,Not guest favourite
Cheerful Double Room near Hanger Lane,"Room in Greater London, United Kingdom",1 double bed ·  · Shared bathroom,€ 54 ,Hosted by Rami, · 9 months hosting,Not guest favourite,Not guest favourite
"Bright Studio in London Zone 2, great location","Entire rental unit in Greater London, United Kingdom",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 52 ,Hosted by Andreia,9 years hosting,Not guest favourite,Not guest favourite
Single only flat in Upper street Angle,"Room in Greater London, United Kingdom",1 bed ·  · No bathroom,€ 58 ,Hosted by Wen, · 2 years hosting,Not guest favourite,Not guest favourite
Double room by the river with free car park.,"Room in Greater London, United Kingdom",1 double bed ·  · Shared bathroom,€ 53 ,Hosted by Demmy,5 years hosting,Not guest favourite,Not guest favourite
Extra large bedroom with garden access,"Room in London, United Kingdom",1 king bed ·  · Shared bathroom,€ 45 ,Stay with Zuzana,7 years hosting,Not guest favourite,Not guest favourite
Double Room Near Battersea Park,"Room in Greater London, United Kingdom",1 bedroom ·  · Shared bathroom,€ 75 ,Hosted by Luana,7 years hosting,Not guest favourite,Not guest favourite
(BM4) Small Cozy Dbl Zone 2,"Room in Greater London, United Kingdom",1 bed ·  · Shared bathroom,€ 42 ,Hosted by Shah,9 years hosting,Not guest favourite,Not guest favourite
Spacious Room in a House with Beautiful Garden,"Room in Greater London, United Kingdom",1 bed ·  · Shared bathroom,€ 55 ,Hosted by Adam,4 years hosting,Not guest favourite,Not guest favourite
